filename,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
blues.00000.wav,0.35008812,0.08875657,0.13022792,0.002826697,1784.16585,129774.0645,2002.4490600000001,85882.76132,3805.8396060000014,901505.4255,0.08304482099999999,0.000766946,-4.5299999999999997e-05,0.008172282,7.78e-06,0.0056981819999999996,123.046875,-113.57065,2564.2075,4.000573999999999,15253.053999999998,-3.7223309999999996,10366.514000000001,7.7998566999999985,8210.944,4.9669523,6634.444,7.243043400000001,5569.469,4.2504807,4837.2295,5.6370644999999975,4254.651,3.6469339999999995,3822.7307,1.9757386000000001,3451.6313,3.224764,3156.8057,3.6896832,2900.3867,3.1233767999999995,2684.2988,3.3108494,2495.9167,2.745934,2337.3088,2.6213592999999995,2194.7356,2.3677373,2068.8115,2.2134755,1956.5928,1.9757386000000001,1857.5297,1.9380163000000001,1767.0273,4
blues.00001.wav,0.34091356,0.094980255,0.09594781,0.002372739,1530.176679,375850.0736,2039.0365160000001,213843.7555,3550.5220979999995,2977893.3880000007,0.056039809,0.001447521,0.000139581,0.005099333,-0.000177608,0.0030631720000000003,67.99958882,-207.5017,7764.555,-41.755207,31634.3,-24.851765,21851.922000000002,-9.669412,17146.582,-7.154068,13798.56,-2.3766434,11638.998,-3.2600439999999997,10009.659,0.06879743,8853.839,-1.0610315000000001,7898.7476,-0.0864967,7134.428000000001,-0.29131126,6498.1772,0.18099184,5967.1323,-0.004604329,5513.5293,0.29716313,5126.1147,-0.1234577,4790.346,-0.057741735,4494.473,-0.09735252,4233.6655,-0.07555110000000001,4001.1428,-0.0864967,3793.2488,-0.055611115,3605.8938,4
blues.00002.wav,0.3636372000000001,0.085275196,0.17557041,0.0027459159999999997,1552.8118650000001,156467.6434,1747.7023120000001,76254.19226,3042.260232,784034.4607,0.076291207,0.0010068289999999999,2.11e-06,0.016341973,-1.95e-05,0.007457626,161.49902340000003,-90.722595,3319.045,24.861857999999998,15273.671,6.876607400000001,10966.646,13.078541,8376.398000000001,7.665931,6849.4033,10.682400999999999,5765.7563,7.204217999999999,5029.9463,7.7586827000000005,4416.677,5.5873127,3970.9258,1.2060285,3582.1602,4.260979,3292.02,4.388498,3023.2368,3.3657187999999993,2807.8784,3.0483818,2612.7470000000008,2.2298713,2450.3818,2.243735,2299.7734,1.657098,2172.8013,1.4641255,2055.6333,1.2060285,1951.0957,1.0341639999999999,1855.6311,4
blues.00003.wav,0.4047847,0.093999036,0.141093,0.006346346,1070.1066150000001,184355.9424,1596.412872,166441.4948,2184.745799,1493194.36,0.033308863,0.00042275900000000004,4.5799999999999995e-07,0.019054487,-1.4499999999999993e-05,0.002712198,63.02400915,-199.5442,5507.517,-24.726646,33543.19,-14.596870999999998,22653.072,-4.232883999999999,17351.607,-3.0320282000000005,13940.661,-0.15435076,11679.753999999999,-0.82258606,10036.171,0.44104899999999997,8802.985,0.30768952,7835.254,0.25443852,7064.3769999999995,0.7005599,6433.704000000002,1.1487899,5903.794,0.8696388,5454.959,0.7304286,5070.021,0.49034742,4736.27,0.50850534,4443.0347,0.2833228,4185.4443,0.30296963,3954.9998,0.25443852,3748.8452,0.07134416,3563.6377,4
blues.00004.wav,0.30852604,0.08784098,0.09152871,0.002303398,1835.004266,343399.9393,1748.172116,88445.20904,3579.7576270000004,1572977.832,0.101460539,0.001954125,-1.76e-05,0.004814,-1.01e-05,0.003093899,135.9991776,-160.3377,5195.2925,-17.059044,23553.31600000001,-23.235295999999998,15889.768,-11.889453999999999,12351.873,-16.007282,10016.58,-11.530686,8469.822,-13.219494000000001,7290.2827,-11.504754,6415.1640000000025,-11.53683,5716.828,-8.288083,5169.7305,-10.519328999999999,4707.7104,-9.877208,4327.1396,-9.650758999999999,4001.7866,-9.500899,3721.3047,-9.478484,3478.277,-9.168614999999999,3267.7059999999997,-8.95011,3080.68,-8.503819,2915.8955,-8.288083,2766.5759999999996,-8.458839999999999,2631.5613,4
blues.00005.wav,0.3024563,0.08753238,0.10349364,0.003980508,1831.9939399999998,1030482.37,1729.653287,201910.5086,3481.517592,3274439.958,0.09404153400000001,0.006233196,1.96e-07,0.008082612,-2.65e-05,0.003242043,69.83741554,-177.77425,7307.416999999998,-29.784374,27152.31600000001,-25.71154,18352.843999999997,-11.593060000000001,14484.065,-13.624011,11690.433,-9.366508999999999,9877.056999999999,-10.990008,8506.110999999999,-9.217935,7481.5474,-9.147724,6669.44,-7.0458455,6018.5819999999985,-8.639527000000001,5479.3784,-8.120053,5032.291,-8.214176,4651.4746,-8.337178999999999,4322.8193,-8.041634,4039.8590000000004,-7.887568499999999,3792.2583,-7.531727,3575.2515,-7.2679534,3380.1675,-7.0458455,3205.247000000001,-7.0990534,3047.354000000001,4
blues.00006.wav,0.29132798,0.09398133,0.14187415,0.008803189,1459.3664720000006,437859.3981,1389.009131,185023.2395,2795.610963,1621442.025,0.073052237,0.001909171,-9.67e-06,0.016923327,-2.24e-05,0.005953941999999999,71.77734375,-190.05237,9656.535,-29.88164,31449.326,-32.044270000000004,21411.4,-15.775947,16972.613,-10.399002000000001,13910.466999999999,-8.766763000000001,11652.173999999999,-10.496062,10027.271,-9.149925999999999,8799.413,-8.8539505,7836.9497,-7.928499,7069.6025,-8.458369,6434.899,-8.014222,5906.1787,-7.905142999999999,5458.0874,-8.051231,5073.015,-7.9501610000000005,4740.7153,-8.082529,4449.8857,-8.249038,4191.9194,-8.178054,3961.2446,-7.928499,3756.4177,-7.856247,3572.204,4
blues.00007.wav,0.3079548,0.09290288,0.13182218,0.0055311430000000005,1451.667066,449568.1625,1577.270941,168211.9388,2954.83676,1629129.9719999996,0.061442246,0.001848816,1.9399999999999997e-05,0.013223033,-4.8100000000000004e-05,0.004838659,92.28515625,-179.34714,6573.922,-21.439058,28961.547000000002,-23.183757999999997,19510.998,-7.3917527000000005,15469.546999999999,-4.852524,12531.475,-2.222334,10500.202,-4.842688,9064.767,-3.1734574,7970.0864,-4.0827675,7110.2417,-5.8207655,6417.0693,-4.4212,5848.708000000001,-4.6319094000000005,5368.7817,-4.5478497,4963.0615,-4.797405,4613.473,-5.074955999999999,4312.468,-5.2844014,4047.9993,-5.595256299999999,3814.4917,-5.8835483,3607.3472,-5.8207655,3421.0078,-5.961263,3253.152,4
blues.00008.wav,0.40887922,0.08651247599999999,0.14241649,0.0015071560000000002,1719.368948,163282.8454,2031.7403809999998,105542.7182,3782.3162880000004,1262916.989,0.064024888,0.000731482,2.26e-06,0.012702082,-1.9699999999999998e-05,0.003465382,83.35433468,-121.363945,2622.1948,0.5713699000000001,16386.57,-4.531817,11090.204,8.1339035,8847.319,4.870746,7155.882,7.4227834,6013.635,3.6233315000000004,5249.398,6.0503073,4644.088,4.0626926,4164.417,2.2504783,3780.1506,4.636897,3453.8442,4.833201,3171.1504,3.482139,2953.8882,3.5949379999999995,2746.671,3.009728,2570.552,2.730835,2414.2192,2.1559725,2279.1936,2.1859324,2154.6365,2.2504783,2043.0831,2.0021698,1943.9213,4
blues.00009.wav,0.27395040000000004,0.092315964,0.08131366,0.004346865,1817.1508629999998,298236.1412,1973.7733059999998,114070.1126,3943.490565,1367638.235,0.079174824,0.001377659,-1.66e-06,0.007221406999999998,-2.33e-05,0.001676929,80.74951172,-213.23998999999998,6133.7217,-49.037197,30428.56,-36.589275,20818.596,-17.688389,16773.354,-18.218970000000002,13526.204,-13.002868,11454.345,-12.455822999999999,9837.909,-9.772414,8667.077,-10.253327,7718.1494,-5.162275,6974.571999999999,-8.550925,6348.8687,-7.523164299999999,5840.119000000002,-6.9273977,5401.0103,-6.797540700000001,5021.543,-6.37172,4696.2440000000015,-6.047232,4408.0156,-5.804266,4153.102,-5.609177,3927.6436,-5.162275,3728.5774,-5.115921,3546.763,4
